"PRODUCT","NOUSCD","NUM","MIN","MAX"
"AY-23DNR","999-9999",150,0.00,0.10
"AY-23DNR","999-9999",160,0.00,0.00
"AY-30","999-9999",10,3.00,0.00
"AY-30","999-9999",20,62.20,67.30
"AY-30","999-9999",30,0.30,5.00
"AY-30","999-9999",40,102.00,105.00
"AY-30","999-9999",50,0.00,0.00
"AY-30","999-9999",60,0.00,0.00
"AY-30","999-9999",70,1.30,1.90
"AY-30","999-9999",80,10.00,12.00
"AY-30","999-9999",90,21.70,25.70
"AY-30","999-9999",100,28.80,32.80
"AY-30","999-9999",110,21.20,25.20
"AY-30","999-9999",120,7.20,9.20
"AY-30","999-9999",130,1.00,1.60
"AY-30","999-9999",140,0.10,0.30
"AY-30","999-9999",150,0.00,0.10
"AY-30","999-9999",160,0.00,0.00
"AYE-25N","999-9999",10,2.50,0.00
"AYE-25N","999-9999",20,50.80,55.20
"AYE-25N","999-9999",30,0.30,4.00
"AYE-25N","999-9999",40,97.00,99.00
"AYE-25N","999-9999",50,0.00,0.00
"AYE-25N","999-9999",60,0.00,0.10
